Country,Code,Year,Unemployment,Region,Sub_Region
Qatar,QAT,1991,0.56,Asia,Western Asia
Qatar,QAT,1992,0.51,Asia,Western Asia
Qatar,QAT,1993,0.46,Asia,Western Asia
Qatar,QAT,1994,0.46,Asia,Western Asia
Qatar,QAT,1995,0.46,Asia,Western Asia
Qatar,QAT,1996,0.48,Asia,Western Asia
Qatar,QAT,1997,0.5,Asia,Western Asia
Qatar,QAT,1998,0.52,Asia,Western Asia
Qatar,QAT,1999,0.53,Asia,Western Asia
Qatar,QAT,2000,0.57,Asia,Western Asia
Qatar,QAT,2001,0.6,Asia,Western Asia
Qatar,QAT,2002,0.62,Asia,Western Asia
Qatar,QAT,2003,0.65,Asia,Western Asia
Qatar,QAT,2004,0.71,Asia,Western Asia
Qatar,QAT,2005,0.77,Asia,Western Asia
Qatar,QAT,2006,0.87,Asia,Western Asia
Qatar,QAT,2007,0.52,Asia,Western Asia
Qatar,QAT,2008,0.31,Asia,Western Asia
Qatar,QAT,2009,0.31,Asia,Western Asia
Qatar,QAT,2010,0.45,Asia,Western Asia
Qatar,QAT,2011,0.56,Asia,Western Asia
Qatar,QAT,2012,0.48,Asia,Western Asia
Qatar,QAT,2013,0.28,Asia,Western Asia
Qatar,QAT,2014,0.2,Asia,Western Asia
Qatar,QAT,2015,0.17,Asia,Western Asia
Qatar,QAT,2016,0.15,Asia,Western Asia
Qatar,QAT,2017,0.14,Asia,Western Asia
Qatar,QAT,2018,0.11,Asia,Western Asia
Qatar,QAT,2019,0.12,Asia,Western Asia
Qatar,QAT,2020,3.45,Asia,Western Asia
Kuwait,KWT,1991,0.81,Asia,Western Asia
Kuwait,KWT,1992,0.81,Asia,Western Asia
Kuwait,KWT,1993,0.8,Asia,Western Asia
Kuwait,KWT,1994,0.7,Asia,Western Asia
Kuwait,KWT,1995,0.7,Asia,Western Asia
Kuwait,KWT,1996,0.7,Asia,Western Asia
Kuwait,KWT,1997,0.7,Asia,Western Asia
Kuwait,KWT,1998,0.7,Asia,Western Asia
Kuwait,KWT,1999,0.7,Asia,Western Asia
Kuwait,KWT,2000,0.8,Asia,Western Asia
Kuwait,KWT,2001,0.8,Asia,Western Asia
Kuwait,KWT,2002,1.1,Asia,Western Asia
Kuwait,KWT,2003,1.3,Asia,Western Asia
Kuwait,KWT,2004,1.7,Asia,Western Asia
Kuwait,KWT,2005,1.49,Asia,Western Asia
Kuwait,KWT,2006,1.3,Asia,Western Asia
Kuwait,KWT,2007,1.5,Asia,Western Asia
